"","greedy","karmarkar-karp","RA"
"775",32,26,228
"776",32,26,62
"777",32,26,74
"778",32,26,38
"779",32,26,74
"780",32,26,44
"781",32,26,36
"782",32,26,36
"783",32,26,74
"784",32,26,62
"785",32,26,74
"786",32,26,74
"787",32,26,18
"788",32,26,32
"789",32,26,32
"790",32,26,36
"791",32,26,32
"792",32,26,204
"793",32,26,30
"794",32,26,0
"795",32,26,24
"796",32,26,38
"797",32,26,68
"798",32,26,24
"799",32,26,228
"800",32,26,26
"801",32,26,26
"802",32,26,74
"803",32,26,204
"804",32,26,36
"805",32,26,0
"806",32,26,44
"807",32,26,32
"808",32,26,30
"809",32,26,30
"810",32,26,228
"811",32,26,30
"812",32,26,36
"813",32,26,36
"814",32,26,74
"815",32,26,26
"816",32,26,410
"817",32,26,68
"818",32,26,26
"819",32,26,30
"820",32,26,30
"821",32,26,26
"822",32,26,18
"823",32,26,30
"824",32,26,30
"825",32,26,472
"826",32,26,38
"827",32,26,204
"828",32,26,44
"829",32,26,24
"830",32,26,36
"831",32,26,68
"832",32,26,30
"833",32,26,24
"834",32,26,24
"835",32,26,36
"836",32,26,74
"837",32,26,26
"838",32,26,26
"839",32,26,472
"840",32,26,38
"841",32,26,30
"842",32,26,26
"843",32,26,22
"844",32,26,30
"845",32,26,0
"846",32,26,74
"847",32,26,22
"848",32,26,44
"849",32,26,24
"850",32,26,32
"851",32,26,228
"852",32,26,68
"853",32,26,36
"854",32,26,26
"855",32,26,26
"856",32,26,44
"857",32,26,30
"858",32,26,74
"859",32,26,68
"860",32,26,38
"861",32,26,18
"862",32,26,30
"863",32,26,38
"864",32,26,18
"865",32,26,32
"866",32,26,32
"867",32,26,18
"868",32,26,24
"869",32,26,36
"870",32,26,24
"871",32,26,30
"872",32,26,38
"873",32,26,30
"874",32,26,472
"875",32,26,0
"876",32,26,32
"877",32,26,36
"878",32,26,0
"879",32,26,410
"880",32,26,30
"881",32,26,36
"882",32,26,68
"883",32,26,32
"884",32,26,22
"885",32,26,24
"886",32,26,32
"887",32,26,68
"888",32,26,24
"889",32,26,204
"890",32,26,26
"891",32,26,36
"892",32,26,18
"893",32,26,0
"894",32,26,24
